UKPRN,Institution,SortOrder,MainPanel,UOA,UnitOfAssessment,msubId,MultipleSubmission,JointSubmission,Profile,StaffFte,FourStar,ThreeStar,TwoStar,OneStar,Unclassified,n_submission,p,pp_top_prop
10000291,Anglia Ruskin University,10,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Outputs,11.3,6.4,68.1,25.5,0,0,47,45,0.260716846
10000291,Anglia Ruskin University,10,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Outputs,13.7,10.3,61.5,25.6,2.6,0,39,35,0.142857143
10000291,Anglia Ruskin University,10,A,5,Biological Sciences, ,,,Outputs,7.25,0,34.8,39.1,4.4,21.7,23,20,0.153541667
10000291,Anglia Ruskin University,10,B,15,General Engineering, ,,,Outputs,8,0,31,65.6,3.4,0,29,16,0.473891129
10000291,Anglia Ruskin University,10,C,16,"Architecture, Built Environment and Planning", ,,,Outputs,8,12.5,29.2,41.6,16.7,0,24,10,0
10000291,Anglia Ruskin University,10,C,17,"Geography, Environmental Studies and Archaeology", ,,,Outputs,17.5,12.5,43.1,40.2,4.2,0,72,61,0.238002981
10000291,Anglia Ruskin University,10,C,19,Business and Management Studies, ,,,Outputs,14.2,6.8,47.7,36.4,4.6,4.5,44,30,0.115790531
10000291,Anglia Ruskin University,10,C,20,Law, ,,,Outputs,10.2,2.8,27.8,44.4,19.4,5.6,36,9,0.12520908
10000291,Anglia Ruskin University,10,C,22,Social Work and Social Policy, ,,,Outputs,14.31,10.7,21.4,44.7,23.2,0,56,25,0.059333333
10000291,Anglia Ruskin University,10,C,25,Education, ,,,Outputs,5.2,0,28.6,42.8,23.8,4.8,21,12,0.083333333
10000291,Anglia Ruskin University,10,D,29,English Language and Literature, ,,,Outputs,16.8,13,42.6,33.3,11.1,0,54,9,0.002435312
10000291,Anglia Ruskin University,10,D,30,History, ,,,Outputs,5.5,12.5,33.3,45.9,8.3,0,24,5,0.010029674
10000291,Anglia Ruskin University,10,D,34,"Art and Design: History, Practice and Theory", ,,,Outputs,13.9,5.7,43.4,39.6,11.3,0,53,1,0
10000291,Anglia Ruskin University,10,D,35,"Music, Drama, Dance and Performing Arts", ,,,Outputs,13.8,6.4,21.3,40.4,27.6,4.3,47,8,0.25
10000291,Anglia Ruskin University,10,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Outputs,8.7,18.2,51.5,30.3,0,0,33,5,0.016351351
10000385,Arts University Bournemouth,120,D,34,"Art and Design: History, Practice and Theory", ,,,Outputs,12.1,11.5,40.4,32.7,13.5,1.9,51,6,0.166666667
10000571,Bath Spa University,40,C,25,Education, ,,,Outputs,13.2,8.2,32.6,36.8,18.3,4.1,48,9,0.057936508
10000571,Bath Spa University,40,D,29,English Language and Literature, ,,,Outputs,21.05,22.9,46.8,19.3,6.4,4.6,109,3,0.220833333
10000571,Bath Spa University,40,D,30,History, ,,,Outputs,6.2,3.7,25.9,44.5,25.9,0,27,5,0.013688525
10000571,Bath Spa University,40,D,35,"Music, Drama, Dance and Performing Arts", ,,,Outputs,12,16.7,28.5,31,23.8,0,42,1,0
10000571,Bath Spa University,40,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Outputs,7.4,19.4,38.7,32.2,9.7,0,31,12,0
10000824,Bournemouth University,130,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Outputs,21.4,16,33.4,40.7,7.4,2.5,81,67,0.274277262
10000824,Bournemouth University,130,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Outputs,13,10.8,62.2,27,0,0,37,36,0.194166667
10000824,Bournemouth University,130,B,15,General Engineering, ,,,Outputs,24.8,0,33.7,60.5,5.8,0,86,68,0.066752791
10000824,Bournemouth University,130,C,17,"Geography, Environmental Studies and Archaeology", ,,,Outputs,29.5,13,42.6,40.7,3.7,0,108,83,0.272713788
10000824,Bournemouth University,130,C,19,Business and Management Studies, ,,,Outputs,20.5,4.6,38.5,46.1,10.8,0,65,33,0.243346509
10000824,Bournemouth University,130,C,26,"Sport and Exercise Sciences, Leisure and Tourism", ,,,Outputs,14,17.8,64.4,17.8,0,0,45,40,0.271149655
10000824,Bournemouth University,130,D,34,"Art and Design: History, Practice and Theory", ,,,Outputs,13.8,9.8,49,33.4,7.8,0,51,30,0.047554045
10000824,Bournemouth University,130,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Outputs,24.8,22.4,47,28.2,2.4,0,85,22,0
10000886,University of Brighton,160,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,(joint submission with University of Sussex),Outputs,22.5,13.2,59.4,24.6,0.9,1.9,89,75,0.063809524
10000886,University of Brighton,160,B,7,Earth Systems and Environmental Sciences, ,,,Outputs,14.25,0,45.8,50,4.2,0,48,45,0.142811584
10000886,University of Brighton,160,B,11,Computer Science and Informatics, ,,,Outputs,14,3.1,43.8,43.7,9.4,0,32,18,0.056070955
10000886,University of Brighton,160,B,12,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering", ,,,Outputs,8.5,11.1,59.3,18.5,11.1,0,25,22,0
10000886,University of Brighton,160,C,19,Business and Management Studies, ,,,Outputs,15.8,17.4,34.8,36.2,10.2,1.4,69,25,0.043086797
10000886,University of Brighton,160,C,22,Social Work and Social Policy, ,,,Outputs,27.1,10.3,42.3,34,10.3,3.1,97,43,0.082611031
10000886,University of Brighton,160,C,25,Education, ,,,Outputs,7.3,13.8,34.5,41.4,10.3,0,29,9,0.111111111
10000886,University of Brighton,160,C,26,"Sport and Exercise Sciences, Leisure and Tourism", ,,,Outputs,21.41,22,43.9,32.9,1.2,0,82,60,0.205182905
10000886,University of Brighton,160,D,34,"Art and Design: History, Practice and Theory", ,,,Outputs,63.9,15.2,40.4,36.3,6.3,1.8,221,36,0.172857147
10000886,University of Brighton,160,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Outputs,14.7,23.1,40.4,30.7,5.8,0,52,11,0.029665072
10000961,Brunel University London,180,A,2,"Public Health, Health Services and Primary Care", ,,,Outputs,10.3,9.5,45.3,30.9,9.5,4.8,42,37,0.251755837
10000961,Brunel University London,180,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Outputs,50.6,16.5,42.8,33,7.7,0,194,158,0.118548188
10000961,Brunel University London,180,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Outputs,22.6,8,36.8,44.9,10.3,0,87,83,0.198995984
10000961,Brunel University London,180,B,7,Earth Systems and Environmental Sciences, ,,,Outputs,16.2,3.1,58.4,32.3,6.2,0,65,64,0.30125
10000961,Brunel University London,180,B,10,Mathematical Sciences, ,,,Outputs,24.05,8,56,36,0,0,100,91,0.190428515
10000961,Brunel University London,180,B,11,Computer Science and Informatics, ,,,Outputs,30.5,23.1,40.1,34.2,2.6,0,117,98,0.231844947
10000961,Brunel University London,180,B,12,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering", ,,,Outputs,63.27,9.4,54.9,31.8,3.9,0,255,223,0.13476188
10000961,Brunel University London,180,B,15,General Engineering, ,,,Outputs,63.45,8.9,50.8,32.5,6.6,1.2,258,228,0.123001283
10000961,Brunel University London,180,C,18,Economics and Econometrics, ,,,Outputs,26.2,2,22.5,63.7,11.8,0,102,73,0.087125518
10000961,Brunel University London,180,C,19,Business and Management Studies, ,,,Outputs,61,11.4,33.8,40.3,13.2,1.3,228,149,0.132015249
10000961,Brunel University London,180,C,20,Law, ,,,Outputs,30.95,6.4,42.2,48.6,2.8,0,109,9,0
10000961,Brunel University London,180,C,21,Politics and International Studies, ,,,Outputs,23.8,20.3,39.2,36.7,3.8,0,79,43,0.19752585
10000961,Brunel University London,180,C,22,Social Work and Social Policy, ,,,Outputs,16.1,22.7,36.4,28.8,10.6,1.5,66,40,0.205087719
10000961,Brunel University London,180,C,23,Sociology, ,,,Outputs,12,14.6,47.9,37.5,0,0,48,35,0.114285714
10000961,Brunel University London,180,C,24,Anthropology and Development Studies, ,,,Outputs,9,14.7,50,35.3,0,0,34,21,0.229222629
10000961,Brunel University London,180,C,25,Education, ,,,Outputs,14.2,19.7,32.8,36,11.5,0,61,27,0.136335907
10000961,Brunel University London,180,C,26,"Sport and Exercise Sciences, Leisure and Tourism", ,,,Outputs,28.9,26,47.2,21.1,4.9,0.8,123,97,0.192714657
